,Name,Category,Biz Lat,Biz Lng,Rating,Review Count,Price,Yelp ID,County
201,Mountain Mike's Pizza,Pizza,38.608117,-122.872703,3,54,$$,_6vspS_AVXTZWn0cknPj7w,Sonoma
202,McDonald's,"FastFood,Burgers",38.6055263,-122.868411,2,29,$,oZj-fybNC1o0KhRgL_IFHg,Sonoma
203,Mateo Granados,LatinAmerican,38.61488678,-122.8673132,2.5,4,Unavailable,23Qd5RMNmP3o1uvJWmaLjg,Sonoma
204,Carls Jr,FastFood,38.6087061,-122.8713565,2,20,$,srCb1cIWx_rTK7u4PIpKQQ,Sonoma
206,Subway,"FastFood,Sandwiches",38.608684,-122.872892,1,8,$,KBtNOYTcgo5jDOnaiyg5sw,Sonoma
208,SEA Noodle Bar,"Thai,Noodles,Salad",38.458655,-122.729712,4,445,$$,oEK3_I3I0lx5qYg3pQx6yw,Sonoma
209,Ippinn Udon & Tempura,Japanese,38.45832013,-122.7168,4.5,242,$,sYQzLBM8OcDeIndeJyCqkA,Sonoma
210,Steele & Hops,"Pizza,Gastropubs",38.459197,-122.717628,4,288,$$,iqhfwrMxzWz3skCn_d-Npg,Sonoma
211,Gaia's Garden,"Vegetarian,Vegan,Buffets",38.45869,-122.71798,4,271,$$,eFfswlXc7h-fuellvswYoA,Sonoma
212,BJ's Restaurant & Brewhouse,"American(New),Pizza",38.458443,-122.729828,2.5,760,$$,pq7uaLCAAo5DCdzW-f4_kQ,Sonoma
213,The Habit Burger Grill,"Burgers,Salad,Sandwiches",38.4559917,-122.7265885,3,93,$$,0ccUjuxnzjqYL2rchrpuTw,Sonoma
214,Mombo's Pizza,Pizza,38.45832,-122.7168,4,301,$,nu0LYEP67_cj_zLt68CPig,Sonoma
215,Quickly,"Gelato,Sandwiches",38.45832,-122.7168,3.5,101,$,HMVjrzabgXhhTw5CiSOWbw,Sonoma
216,Lita's Cafe,"Cafes,Breakfast&Brunch,American(Traditional)",38.45912804,-122.7182937,4,205,$,a8B1vZnYHhc4l6JL1T771w,Sonoma
217,Silver Moon Chinese Food,Chinese,38.45832,-122.7168,4,50,$,m0kToBmhogm1Zs3gpc7-IQ,Sonoma
218,Whole Foods Tap Room,Delis,38.45803021,-122.731878,4,16,$,9ECuRxqvCRcR8gYis9Vgaw,Sonoma
219,Five Guys,"Burgers,FastFood",38.4623016,-122.716845,3,247,$,OGELH8fE2H_R5hpsDXHzeA,Sonoma
220,Chipotle Mexican Grill,"Mexican,FastFood",38.45817077,-122.7300576,3,128,$,87x_u8abZpYY9wiqEO3gvg,Sonoma
221,Taqueria Santa Rosa,Mexican,38.459699,-122.716974,3.5,221,$,#NAME?,Sonoma
222,Taylor Lane Organic Coffee,Breakfast&Brunch,38.4591521,-122.7315047,4,30,Unavailable,E_6RVxnPD6sKlY_iZpyK-Q,Sonoma
223,SRJC Culinary Cafe,American(New),38.45606,-122.71675,3.5,35,$$,b7lmig-1e6MMCeeqFJ7cQg,Sonoma
224,My Friend Joe,"Bagels,Sandwiches",38.45783,-122.71682,4,127,$,Ov36zrUsi83q6KnF8RxbTg,Sonoma
225,Jalisco Mexican Food,Mexican,38.45751953,-122.7168427,3,164,$,DyC23gsukAyGNI1iUKst8g,Sonoma
226,Subway,"FastFood,Sandwiches",38.45958,-122.728769,2,5,$,FivSNsEb4z0pw_lDrxtbwg,Sonoma
227,Lita's cafe,American(Traditional),38.45922,-122.718162,5,1,Unavailable,HLZnPHr8Jx4EQHb-SHP7Sw,Sonoma
228,Taco Bell,"Mexican,FastFood,Tex-Mex",38.4581,-122.717,2,54,$,PUKS2nr17_M8Elq9xBnAXw,Sonoma
229,Coddingtown Valero & Subway,Sandwiches,38.4595727,-122.728878,2.5,15,$,dOvUidQKgyEuubj21SiM7A,Sonoma
230,Subway,Sandwiches,38.45864169,-122.7167053,4,1,$,ztDecMkRuDunL9Yn8O9jVA,Sonoma
233,Amy's Place,Chinese,38.45215,-122.7714,3.5,22,Unavailable,eQppfmuv4yMMe4egbc5Ssw,Sonoma
235,Thai Pot,Thai,38.437814,-122.769978,3,87,$$,2mzbw6DKmbAcRZrIEgumcA,Sonoma
236,Village Cafe,"Breakfast&Brunch,Burgers,American(Traditional)",38.4526649,-122.772132,3,29,$,baVlPtt4BCPOJc_UZaE-VQ,Sonoma
237,Adobo Taqueria,Mexican,38.45215,-122.7714,4,41,$,vVRA4CI2BWTjC4QX9xbGNg,Sonoma
238,Louie's Fine Foods,"Breakfast&Brunch,Diners",38.43722996,-122.769911,3.5,55,$$,jqmxAJ_dUHinkLsGYdIeBA,Sonoma
239,McDonald's,"FastFood,Burgers",38.45292832,-122.7705237,2,31,$,1xPLLD57d_CtmLLETzeQEg,Sonoma
240,Little Caesars Pizza,Pizza,38.452631,-122.771276,3.5,12,$,DiillkIqLhzWsJ6IATo-Qw,Sonoma
241,Burger King,"Burgers,FastFood",38.45218,-122.7707,2.5,10,$,zc6NkUYrCJ8JP4pwYCqwJQ,Sonoma
242,LoCoco's Cucina Rustica,Italian,38.437865,-122.720206,4,763,$$,IdVW8QwdPWn2rCse8zayjw,Sonoma
243,Freaking Tacos,Mexican,38.43348,-122.72775,4.5,82,Unavailable,dFQcuPbrpAZDcCY6fCzlJQ,Sonoma
244,The Pullman Kitchen,American(New),38.4388844,-122.7198648,4,398,$$,_ZleDv1CjkMotPFOIErquA,Sonoma
245,Jackson's Bar and Oven,ComfortFood,38.4377604,-122.720293,4,700,$$,EKP0jLnl5JEVtXOtx6oKpQ,Sonoma
246,Sonoma Crust Bakery,"Bakeries,Desserts,Waffles",38.4438699,-122.73008,4.5,169,$$,E0tYm60NmlZQFF38xwmhuQ,Sonoma
248,Los Arcos,"Mexican,American(Traditional)",38.451249,-122.75238,4.5,441,$$,zqGfIU1RSNNW6_Oh4EonMw,Sonoma
