,Name,Lat_Restaurant,Lng_Restaurant,Address,Zip,Rating,# of Reviews,Price Level,Category,Yelp ID,City,County
740,Taco Bell,38.53145,-121.9528,703 Matsumoto Lane,95694,3,25,$,Tex-Mex,7BPuu7pqUws7D2BGAmK2DA,Winters,Yolo County/Solano County
741,Subway,38.52659607,-121.9648972,180 E Grant Ave,95694,3,4,$,Sandwiches,qWlFQnkcnsJrb2lhwUF2Ng,Winters,Yolo County/Solano County
743,D Street Steakhouse,38.54215046,-121.7420067,113 D St,95616,4,129,$$,Cocktail Bars,h6081clppJyibSYZPjJhSQ,Davis,Yolo County
744,Four Seasons Gourmet Chinese Restaurant,38.54022201,-121.7319727,1601 Research Park Dr,95618,4.5,614,$,Chinese,qqti9B1QsOFEnNhplwAgug,Davis,Yolo County
745,Mikuni Japanese Restaurant and Sushi Bar,38.54109,-121.740974,500 1st St,95616,4,754,$$,Japanese,iLNnJRb7zgms4flTf9qteg,Davis,Yolo County
746,Delta of Venus,38.542172,-121.743866,122 B St,95616,4,383,$,Pubs,Nsd4yFS62WfHzoj9-fowYA,Davis,Yolo County
747,Pluto's,38.54135916,-121.7412271,500 1st St,95616,4,614,$$,Sandwiches,_SoKIGS91l7mXkUCAWXJdw,Davis,Yolo County
748,The Halal Guys,38.541355,-121.740669,500 1st St,95616,3.5,173,$$,Halal,wWnio1zt4ewKLjd6GPnL5Q,Davis,Yolo County
749,Hong Kong Cafe,38.54218485,-121.7253161,2151 Cowell Blvd,95618,3,100,$,Hong Kong Style Cafe,cEBft24-NmgcbEAVwyWu-A,Davis,Yolo County
750,Davis's Pi̱ata Mexican Grill,38.54168701,-121.743721,305 1st St,95616,4,187,$,Mexican,vmlDZr7J6hJ5BHFBw47eZA,Davis,Yolo County
751,In-N-Out Burger,38.54093745,-121.7371436,1020 Olive Dr,95616,4,380,$,Fast Food,bi9ZUN54a6TBS0c91fYs_g,Davis,Yolo County
752,Dos Coyotes Border Cafe,38.5408845,-121.7235609,2191 Cowell Blvd,95618,3.5,384,$$,Tex-Mex,4HJTj1xezvDMe1foiXgxYQ,Davis,Yolo County
753,Teabo Caf̩,38.54076552,-121.7247179,2191 Cowell Blvd,95618,3.5,493,$,Cafes,lFxN0ZJLsE3Fe5-AIkh77w,Davis,Yolo County
754,The Gunrock,38.53907,-121.750425,482 Hutchison Dr,95616,4,50,$$,American (New),Qf7OWGs7gnnB3QkyEohUyA,Davis,Yolo County
755,La Crepe,38.53880877,-121.7531187,The Silo,95616,4,49,$,Creperies,hvQpyVSUbbyDYQCyNVjhEg,Davis,Yolo County
756,Redrum Burger,38.540345,-121.738776,978 Olive Dr,95616,3,691,$$,Burgers,AJ3xTiOD6WheoJ6HNPCSUQ,Davis,Yolo County
757,Spokes Grill,38.53845819,-121.7532868,420 Hutchison Dr,95616,4,3,unavailable,Burgers,cui5_dL70j3PywSg9SNc3A,Davis,Yolo County
758,Segundo Dining Commons,38.53688723,-121.7561531,470 La Rue Rd,95616,4,43,$,Cafeteria,zXhJuVBbCvRbr_vu8NgoEg,Davis,Yolo County
759,Solomon's Delicatessen - Davis,38.541367,-121.740827,500 1st St,95616,3.5,134,$$,Sandwiches,BH0vr-7Iu5F8WuJZBVJ0zw,Davis,Yolo County
760,IHOP,38.5402,-121.73032,1745 Cowell Blvd,95618,2.5,134,$$,Breakfast & Brunch,wN8zoRcvRwFG346GKjN2gQ,Davis,Yolo County
