,Name,Category,Biz City,Biz Zip,Biz Lat,Biz Lng,Rating,Review Count,Price,Yelp ID,County
133,Tony's Kitchen,"['Italian', 'Salad', 'Pizza']",Napa,94558.0,38.21873970000001,-122.2671761,3.0,30,$$,utuNhmKi9VHFwfjtSfGRWg,Napa
134,The Runway,"['American (New)', 'American (Traditional)']",Napa,94558.0,38.2170410596615,-122.26578278951,5.0,2,Unavailable,kJ_txzTtRCY5ajpiKtV08Q,Napa
135,The View Bar & Grill,"['American (New)', 'Bars', 'American (Traditional)']",Napa Valley,94558.0,38.2200454493275,-122.234422654146,4.5,15,$$,15RjOilOZ79FHjTH8I-cUg,Napa
138,Catelli's,"['American (New)', 'Italian', 'Bars']",Geyserville,95441.0,38.7066059,-122.9045721,4.5,617,$$,Wj8k1Rq86UywXZko-aalaA,Sonoma
139,Diavola Pizzeria & Salumeria,"['Italian', 'Pizza']",Geyserville,95441.0,38.7063593,-122.90420159999998,4.0,687,$$,gMwxfXT_QPTYicFfdQeeWg,Sonoma
140,Geyserville Grille,['American (Traditional)'],Geyserville,95441.0,38.713723,-122.91497,3.5,121,$$,00gDhXc0WHN-XqeUWv_Iog,Sonoma
141,Wero,['Tex-Mex'],Geyserville,95441.0,38.715447999999995,-122.923079,4.5,48,$$,AEQj8nCsfq8E7v59cMiWQg,Sonoma
142,"Rustic, Francis's Favorites","['Italian', 'American (New)', 'Pizza']",Geyserville,95441.0,38.68024000000001,-122.88752,4.0,669,$$,jEEp2Nimv9C7YeqwrNoSGQ,Sonoma
143,Krispy Krunchy Chicken,['Chicken Shop'],Geyserville,95441.0,38.70677,-122.90503000000001,4.0,4,Unavailable,KSvLI-yFoKVPEUr_4exOOA,Sonoma
145,Quail Run Buffet,['Buffets'],Geyserville,95441.0,38.698999996062796,-122.86221973801399,3.5,26,$$,aigMv_ngml92jA7XcCnHbw,Sonoma
146,Center Stage Bar and Grill,['American (New)'],Geyserville,95441.0,38.703331,-122.859624,3.0,8,Unavailable,xmn7JsaU1Ki3d19ft41mIw,Sonoma
148,Dry Creek General Store,"['Delis', 'Breakfast & Brunch', 'Sandwiches']",Healdsburg,95448.0,38.654709000000004,-122.9218287,3.5,248,$$,V2vmgtG0M5vK9O1e6JNl-g,Sonoma
149,Taco truck 101 exit Lytton Springs/ Geyserville Road,['Tex-Mex'],Healdsburg,95448.0,38.6593025408623,-122.872384589163,4.5,24,$,P_h1QNdc-x_q4mpRi2ePeA,Sonoma
150,Taqueria Guanajuato Taco Truck,['Mexican'],Healdsburg,95448.0,38.649899501627395,-122.86908923929701,4.5,12,Unavailable,zMTSac15ibSmaq_5jOz7XA,Sonoma
151,Jimtown Store,"['Sandwiches', 'Breakfast & Brunch', 'Desserts']",Healdsburg,95448.0,38.668822241285,-122.81717706042,4.0,194,$$,ew4T-ysxqC-A6gqe4DcKKg,Sonoma
153,Adel's,"['Desserts', 'American (Traditional)', 'Diners']",Healdsburg,95448.0,38.62556,-122.87668000000001,3.0,100,$$,Mk9hPp4D83GHY0oRE4W2JQ,Sonoma
